content,title
"安,剛剛我洗澡出來,望向窗外剛好看到一台鳴笛的救護車,隨之而來的是樓下野狗的吹狗螺,幹,怕爆,現在半夜欸,豪口怕我該注意什麼,-----,Sent,from,JPTT,on,my,iPhone,--",[問卦] 有救護車經過還有吹狗螺代表什麼
"1.媒體來源:,新頭殼,2.記者署名,王寶兒,3.完整新聞標題:,廣邀總統候選人參反紅媒遊行,館長曝：柯文哲將上直播支持,4.完整新聞內文:,網路紅人「館長」陳之漢日前提議發起「紅色媒體滾出台灣遊行」，獲時代力量立委黃國昌支持，目前已敲定23日一同穿白衣上凱道，更廣邀「各政黨總統候選人」以及「黨團代表人」一起參加表達立場。館長也在昨(14)日深夜餘臉書預告，台北市長柯文哲當天雖無法出席，但近日將會透過上館長的直播支持遊行。,館長坦言，其實說廣邀「各政黨總統候選人」以及「黨團代表人」，無非就是希望能邀請到總統蔡英文、鴻海集團董事長郭台銘、前新北市長朱立倫、高雄市長韓國瑜以及柯文哲。為的就是要證明，不分黨派、只要反中共反中媒，都可以參加，辦這場遊行的目的也不是要為任何人抬轎。,館長昨天在直播中透露，柯文哲因為已安排行程，當天無法參加，但答應「明天（15日）晚上9點會親自來館長辦公室跟大家做直播，用行動支持館長」。,但在昨日的貼文上，館長更新時程，表示「星期日（16日）晚上九點，柯文哲力挺館長反紅媒，全新直播間由柯P首播，直播秀到時候見」，與直播的時程稍有出入。,5.完整新聞連結,(或短網址):",[新聞] 廣邀總統候選人參反紅媒遊行 館長曝：柯
"大家好,我是小魯弟,我發現呀,選舉真的很像在玩狼人殺,大家講的話都真真假假,太刺激了,等到選完後才發現看...,選到狼人了,大家有同感嘛,我是預言家,我查到1號是禿頭,--",[問卦] 選舉484很像玩狼人殺
"我朋友阿每天都認真讀書,除了為了獎學金以外,他認為在校成績在以後找工作非常重要,如果拿在校成績去面試是不是會被人資笑死阿？,--",[問卦] 有人會認為公司會看學校成績？
"是這樣啦,先承認小弟以前也做過,沒作弊的人都要被當異類,慘一點還會被罷0,阿德你盡力了,我草尼馬,作弊要作得這麼出神入化,當今這世道,唯有我們偉大的空心X,是不是要作弊才不會被21,是,是不是要作弊才不會當學弟,是,是不是要作弊才能爽爽玩8年,是,是不是要作弊才能出線,是,是不是要作弊才能當XX,是,以前只聽過小時不讀書長大當記者,現在是不是多了一句,選舉不作弊,怎麼當媓帝,1450,廠工別來噓我,外交靠川普,連任靠嗆中,內政放水流,唯我英皇文成武德,--",[問卦] 有小時不作弊長大當XX的八卦嗎
"大家好！韓導頭號粉絲！aka.韓導推手！戳戳小牙籤！,廠工專用爆文專業帳號我又來惹！,話說1450真的很辛苦！半夜一點還在發文！,難怪柯屁夫婦和韓導都一家親，一起來憐惜我們！,大家還不敢快推起來？,話說韓導忙著選總統，喜韓兒忙著舔韓導，都沒時間管高雄防疫死活！,結果登革熱疫情在高雄大爆發之後才在那邊演戲說要防疫",[爆卦] 韓流發威！韓國瑜市府一個水溝清一個月！
"最近想跟幾個朋友用手機玩mmorpg啦,就是那種每個人選不同職業,合力攻略副本的那種,可是腫麼感覺手遊的mmorpg都很單機啊,自己農怪自己打王,這有什麼好玩的,有人可以推薦一下合作性高的rpgㄇ,--",[問卦] 有沒有什麼好玩的mmorpg手遊R
"雞塊一直都被認為是不健康的食物。,但老實說，我認真研究一下，雞塊其實以消夜來說，滿健康的吧。,熱量比炸雞、鹹酥雞都低。,而且雞塊都是知名大廠做的，,比妳去鹹酥雞攤點甜不辣，,說不定化學成分都少。,冷凍庫常備冷凍雞塊，,消夜想吃就烤兩塊吃，,應該比鹹酥雞健康多了吧?,--",[問卦] 為何雞塊會被認為是不健康的食物
"1.媒體來源:,自由,2.記者署名,〔記者王俊忠／台南報導〕,3.完整新聞標題:,推台南漁電共生,台鹽綠能：年發電量可比2.37座曾文水庫,4.完整新聞內文:,台鹽成立的子公司「台鹽綠能」近來在台南七股、北門地區推動漁電共生的太陽能發電工,程，頻遭地方以損及養殖漁民工作權、太陽能有污染性及影響地方生態等理由反對、抗爭,。台鹽綠能總經理蘇坤煌出面澄清，絕不會影響漁民工作權、太陽能是很乾淨的能源，也,會避開生態保護區，請地方與環保人士不要有非理性的抗爭。,台鹽綠能簽約推動漁電共生的台南沿海漁塭現況。（圖：台鹽綠能提供）,台鹽綠能簽約推動漁電共生的台南沿海漁塭現況。（圖：台鹽綠能提供）,蘇坤煌表示，台鹽綠能在台南七股、北門地區已簽約近7百公頃漁塭地，其中約599公頃（,地主556人簽同意書）已送市府審核中，未來在台南的漁電共生太陽能發電工程將投資4百,億資金、提供1萬個就業機會。台南地區年發電量可達6億0681萬多度，約是2．37座曾文,水庫的年發電量，提供16萬8千多家庭用戶的1年用電，減碳達33萬6千多噸，這對追求非,核家園目標是很有意義的事。,對於地方與保育人士質疑的損及養殖戶工作權、太陽能有毒、污染與影響地方生態等問題,，蘇坤煌說明，漁電共生是建立在有養殖業的事實，須經養殖戶同意才會推動，「先有漁,，才有電」，承諾未來漁場使用權以原地主養殖戶與承租養殖戶為優先，漁民不會沒有漁,塭可租。,蘇坤煌說，指太陽能有毒、會污染是沒有根據的論述，清洗過程只用清水，清洗後透過太,陽能板集水槽將廢水集中處理，不會衍生有毒物質污染漁塭；太陽能面板出廠要附無毒物,溶出證明，確保清洗過程不會產生有毒物質，太陽能是公認最無污染性的發電設備。,台鹽綠能強調，所有專區選址都避開第1級環境敏感地區，不會在保護區內設置，且水面,空間變化不大，不會影響鳥類覓食，所選案場都在私人養殖用地，非生態熱點、不在環境,敏感帶內，不會影響生態。,蘇坤煌說，事實上台鹽綠能計劃在台南投資最多外，高雄、嘉義與彰化等縣市也有與部分,私人漁塭簽約推動漁電共生，如果台南非理性的抗爭與反對一直持續下去，到今年底前台,南簽約的漁塭無法獲得市府審核通過，投資漁電共生的電商可能會把推動計畫改到其他縣,市。,5.完整新聞連結,(或短網址):",[新聞] 推台南漁電共生 台鹽綠能：年發電量可比2
"最近FB版面上政治文一堆,同溫層裡又以英粉柯粉占大宗,我的觀察辣,kmt真的是高招,,不愧是最會選舉的黨,之前在網路聲勢這方面跌跤,,這次反而青出於藍,kmt絕對不是把輿論經費只花在,""加強我方"",,也不是花在,""詆毀敵方"",相信最多的是花在,""挑撥離間"",不管是假帳號挑起爭端,,還是匿名投書買廣告,目的就是讓,柯粉,/,英粉,/,其他dpp粉,(新潮流.etc),內鬥,而且還在假帳號特別作功課,無頭像帳號的黑柯留言點進去一定看到分享了好幾篇小英的新聞,拿~麼明顯的栽贓,,下面還是戰成一團,配合著買大眾傳媒新聞,,加深白綠兩派的隔閡,與其對韓國禿子的聲勢感到憂慮,怎麼台灣有那麼多智障跟自己一樣一人一票,不如先冷靜下來想一想,依柯粉英粉現在戰成這樣的狀態,就算禿子最後不選,,柯也不選,小英拿票拿得贏KMT嗎,(笑,--",[問卦] 有沒有白綠被離間互鬥還不自覺的八卦
"各位,今天大晴天,本帥哥特別把被單拆下來洗,棉被也拿出去曬了一整個下午的太陽,聞起來有夠香,而且蓋起來特別舒服,觸感很特別,可是明明是同一件棉被,有沒有為什麼棉被曬過,蓋起來會特別舒服的八卦？,--",[問卦] 為什麼曬過的棉被蓋起來特別舒服？
"尤其是那些90年代出生的香港年輕人,1997年時他們不是剛上小學就是幼稚園托兒所,我發現這一代年輕人的港獨意識反而遠遠超越港英時代成長的中老年人？,是香港的支那化教育失敗嗎？,因為沒教唱紅歌嗎？(支那愛黨歌曲),這是怎麼一回事？？,--",[問卦] 為何一國兩制下的香港，港獨意識極高？
"如題喇,剛剛小妹滑屁股蛋照片滑到很餓,就問朋友A要不要吃消啦,阿你們知道他奪麼惡劣嗎,竟然先買好不揪了啦耖,這種人到底是怎樣阿,居然偷偷D去買消夜喇,有沒有卦?",[問卦]偷買消夜不揪的朋友要打他嗎
"四大節慶,過年,這不意外,新的一年,清明,祭拜祖先,中秋節,是以前中國為了慶祝豐收,所以還算有紀念性,但是端午節????,就是紀念一個跳河自殺的87???,到底有甚麼意義,八卦?,--",[問卦] 端午節的意義到底是甚麼
"你各位鄉民晚安啊,那個啦,昨天的問卦忘記發滿兩篇怎麼辦,突然想到覺得好空虛,-----,Sent,from,JPTT,on,my,Samsung,SM-G965F.,--",[問卦] 欸！昨天廢文沒有發滿怎麼辦
"被封為香港地下國歌的海闊天空,在香港各大遊行都能聽到,而且連台灣人也幾乎每個人都會唱,有沒有為什麼海闊天空這麼紅的八卦啊？,我第一首粵語歌也是海闊天空嘻嘻,--,Sent,from,PUTYPUTY,on,my,iPhone,XR,--",[問卦] 為什麼海闊天空這麼紅？
